Rover 1.0 200813
Standby
{h  0}
{v   0}
{s   0}
msg: 10:55:19 {LT21.9445}
msg: 10:55:19 {LN7.2263}
msg: 10:55:20 {LA11044}
msg: 10:55:22 {LT21.9434}
msg: 10:55:22 {LN7.2274}
msg: 10:55:22 {LA10986}
msg: 10:55:24 {LT21.9434}
msg: 10:55:24 {LN7.2284}
msg: 10:55:25 {LA10718}
msg: 10:55:26 {LT21.9431}
msg: 10:55:26 {LN7.2288}
msg: 10:55:27 {LA10584}
msg: 10:55:29 {LT21.9431}
msg: 10:55:29 {LN7.2328}
msg: 10:55:29 {LA10536}
msg: 10:55:30 {LT21.9406}
msg: 10:55:30 {LN7.2335}
msg: 10:55:31 {LA10282}
msg: 10:55:32 {LT21.9398}
msg: 10:55:32 {LN7.2338}
msg: 10:55:33 {LA10146}
msg: 10:55:35 {LT21.9398}
msg: 10:55:35 {LN7.2364}
msg: 10:55:36 {LA9983}
msg: 10:55:37 {LT21.9377}
msg: 10:55:37 {LN7.2374}
msg: 10:55:37 {LA9951}
msg: 10:55:39 {LT21.9362}
msg: 10:55:39 {LN7.2392}
msg: 10:55:39 {LA9958}
msg: 10:55:41 {LT21.9362}
msg: 10:55:41 {LN7.2403}
msg: 10:55:42 {LA9922}
msg: 10:55:43 {LT21.9352}
msg: 10:55:43 {LN7.2410}
msg: 10:55:44 {LA9840}
msg: 10:55:46 {LT21.9352}
msg: 10:55:46 {LN7.2439}
msg: 10:55:47 {LA9691}
msg: 10:55:48 {LT21.9323}
msg: 10:55:48 {LN7.2450}
msg: 10:55:48 {LA9657}
msg: 10:55:50 {LT21.9305}
msg: 10:55:50 {LN7.2475}
msg: 10:55:50 {LA9626}
msg: 10:55:52 {LT21.9305}
msg: 10:55:52 {LN7.2490}
msg: 10:55:53 {LA9484}
msg: 10:55:54 {LT21.9283}
msg: 10:55:54 {LN7.2500}
msg: 10:55:55 {LA9477}
msg: 10:55:57 {LT21.9272}
msg: 10:55:57 {LN7.2526}
msg: 10:55:57 {LA9463}
msg: 10:55:59 {LT21.9272}
msg: 10:55:59 {LN7.2515}
msg: 10:56:00 {LA9361}
msg: 10:56:01 {LT21.9258}
msg: 10:56:01 {LN7.2511}
msg: 10:56:02 {LA9326}
msg: 10:56:04 {LT21.9258}
msg: 10:56:04 {LN7.2508}
msg: 10:56:04 {LA9312}
msg: 10:56:05 {LT21.9247}
msg: 10:56:05 {LN7.2500}
msg: 10:56:06 {LA9250}
msg: 10:56:07 {LT21.9244}
msg: 10:56:07 {LN7.2497}
msg: 10:56:08 {LA9241}
msg: 10:56:10 {LT21.9236}
msg: 10:56:10 {LN7.2500}
msg: 10:56:10 {LA9248}
msg: 10:56:12 {LT21.9236}
msg: 10:56:12 {LN7.2504}
msg: 10:56:13 {LA9361}
msg: 10:56:14 {LT21.9236}
msg: 10:56:14 {LN7.2511}
msg: 10:56:15 {LA9358}
msg: 10:56:17 {LT21.9236}
msg: 10:56:17 {LN7.2500}
msg: 10:56:17 {LA9320}
msg: 10:56:18 {LT21.9226}
msg: 10:56:18 {LN7.2497}
msg: 10:56:19 {LA9159}
msg: 10:56:20 {LT21.9222}
msg: 10:56:20 {LN7.2493}
msg: 10:56:21 {LA8980}
msg: 10:56:23 {LT21.9222}
msg: 10:56:23 {LN7.2497}
msg: 10:56:24 {LA8753}
msg: 10:56:25 {LT21.9233}
msg: 10:56:25 {LN7.2493}
msg: 10:56:25 {LA8723}
msg: 10:56:27 {LT21.9244}
msg: 10:56:27 {LN7.2490}
msg: 10:56:27 {LA8697}
msg: 10:56:29 {LT21.9254}
msg: 10:56:29 {LN7.2490}
msg: 10:56:30 {LA8657}
msg: 10:56:32 {LT21.9254}
msg: 10:56:32 {LN7.2500}
msg: 10:56:32 {LA8636}
msg: 10:56:33 {LT21.9280}
msg: 10:56:33 {LN7.2500}
msg: 10:56:34 {LA8567}
msg: 10:56:35 {LT21.9283}
msg: 10:56:35 {LN7.2504}
msg: 10:56:36 {LA8517}
msg: 10:56:38 {LT21.9280}
msg: 10:56:38 {LN7.2490}
msg: 10:56:38 {LA8504}
msg: 10:56:40 {LT21.9280}
msg: 10:56:40 {LN7.2482}
msg: 10:56:41 {LA8527}
msg: 10:56:42 {LT21.9276}
msg: 10:56:42 {LN7.2479}
msg: 10:56:43 {LA8558}
msg: 10:56:45 {LT21.9276}
msg: 10:56:45 {LN7.2475}
msg: 10:56:45 {LA8551}
msg: 10:56:46 {LT21.9290}
msg: 10:56:46 {LN7.2479}
