========================================================================================Rover 1.0 201221
Voltage:  15.9
Standby
hdg:   0, bias:  98
{v   0}
{s   0}
msg: 09:33:00.705{LT21.2407}
msg: 09:33:00.716{LN7.0402}
msg: 09:33:00.723{LA218}
{lt  0.72}
msg: 09:33:01.715{LT21.2677}
msg: 09:33:01.726{LN7.0225}
msg: 09:33:01.733{LA218}
{lt  0.72}
msg: 09:33:02.727{LT21.3610}
msg: 09:33:02.738{LN6.9966}
msg: 09:33:02.745{LA218}
{lt  0.72}
msg: 09:33:03.736{LT21.4546}
msg: 09:33:03.746{LN7.0596}
msg: 09:33:03.753{LA218}
{lt  0.72}
msg: 09:33:04.745{LT21.5129}
msg: 09:33:04.756{LN7.1564}
msg: 09:33:04.763{LA218}
{lt  0.72}
msg: 09:33:05.754{LT21.5233}
msg: 09:33:05.764{LN7.1543}
msg: 09:33:05.772{LA218}
{lt  0.72}
msg: 09:33:06.764{LT21.5705}
msg: 09:33:06.775{LN7.1600}
msg: 09:33:06.781{LA218}
{lt  0.72}
msg: 09:33:07.774{LT21.5701}
msg: 09:33:07.784{LN7.1633}
msg: 09:33:07.792{LA218}
{lt  0.72}
msg: 09:33:08.783{LT21.5687}
msg: 09:33:08.793{LN7.1626}
msg: 09:33:08.800{LA218}
{lt  0.72}
msg: 09:33:09.795{LT21.5586}
msg: 09:33:09.805{LN7.1647}
msg: 09:33:09.813{LA218}
{lt  0.72}
msg: 09:33:10.804{LT21.5381}
msg: 09:33:10.815{LN7.1863}
msg: 09:33:10.822{LA218}
{lt  0.72}
msg: 09:33:11.812{LT21.5305}
msg: 09:33:11.823{LN7.0963}
msg: 09:33:11.830{LA218}
{lt  0.72}
msg: 09:33:12.821{LT21.5575}
msg: 09:33:12.831{LN7.0031}
msg: 09:33:12.839{LA218}
{lt  0.72}
msg: 09:33:13.829{LT21.5460}
msg: 09:33:13.839{LN7.0340}
msg: 09:33:13.847{LA218}
{lt  0.72}
msg: 09:33:14.839{LT21.5647}
msg: 09:33:14.850{LN7.0420}
msg: 09:33:14.857{LA218}
{lt  0.72}
msg: 09:33:15.852{LT21.5554}
msg: 09:33:15.861{LN7.0711}
msg: 09:33:15.870{LA218}
{lt  0.72}
msg: 09:33:16.860{LT21.5550}
msg: 09:33:16.871{LN7.0736}
msg: 09:33:16.878{LA218}
{lt  0.72}
msg: 09:33:17.869{LT21.5640}
msg: 09:33:17.880{LN7.0556}
msg: 09:33:17.887{LA218}
{lt  0.72}
msg: 09:33:18.878{LT21.5694}
msg: 09:33:18.889{LN7.0477}
msg: 09:33:18.896{LA218}
{lt  0.72}
msg: 09:33:19.886{LT21.5770}
msg: 09:33:19.896{LN7.0441}
msg: 09:33:19.904{LA218}
{lt  0.72}
msg: 09:33:20.895{LT21.5705}
msg: 09:33:20.906{LN7.0322}
msg: 09:33:20.913{LA218}
{lt  0.72}
msg: 09:33:21.904{LT21.5618}
msg: 09:33:21.914{LN7.0333}
msg: 09:33:21.922{LA218}
{lt  0.72}
msg: 09:33:22.912{LT21.4888}
msg: 09:33:22.924{LN7.0474}
msg: 09:33:22.930{LA195}
{lt  0.64}
msg: 09:33:23.926{LT21.5856}
msg: 09:33:23.936{LN7.0427}
msg: 09:33:23.943{LA195}
{lt  0.64}
msg: 09:33:24.934{LT21.6137}
msg: 09:33:24.944{LN7.0826}
msg: 09:33:24.952{LA195}
{lt  0.64}
msg: 09:33:25.943{LT21.6410}
msg: 09:33:25.953{LN7.1212}
msg: 09:33:25.961{LA195}
{lt  0.64}
